factor_name,expression,category
LAG_M1_T1,"Ref($M1, 1)",lag
LAG_M1_T2,"Ref($M1, 2)",lag
LAG_M1_T5,"Ref($M1, 5)",lag
LAG_M1_T10,"Ref($M1, 10)",lag
LAG_M1_T20,"Ref($M1, 20)",lag
LAG_M1_T60,"Ref($M1, 60)",lag
LAG_V1_T1,"Ref($V1, 1)",lag
LAG_V1_T2,"Ref($V1, 2)",lag
LAG_V1_T5,"Ref($V1, 5)",lag
LAG_V1_T10,"Ref($V1, 10)",lag
LAG_V1_T20,"Ref($V1, 20)",lag
LAG_V1_T60,"Ref($V1, 60)",lag
LAG_P1_T1,"Ref($P1, 1)",lag
LAG_P1_T2,"Ref($P1, 2)",lag
LAG_P1_T5,"Ref($P1, 5)",lag
LAG_P1_T10,"Ref($P1, 10)",lag
LAG_P1_T20,"Ref($P1, 20)",lag
LAG_P1_T60,"Ref($P1, 60)",lag
LAG_S1_T1,"Ref($S1, 1)",lag
LAG_S1_T2,"Ref($S1, 2)",lag
LAG_S1_T5,"Ref($S1, 5)",lag
LAG_S1_T10,"Ref($S1, 10)",lag
LAG_S1_T20,"Ref($S1, 20)",lag
LAG_S1_T60,"Ref($S1, 60)",lag
LAG_E1_T1,"Ref($E1, 1)",lag
LAG_E1_T2,"Ref($E1, 2)",lag
LAG_E1_T5,"Ref($E1, 5)",lag
LAG_E1_T10,"Ref($E1, 10)",lag
LAG_E1_T20,"Ref($E1, 20)",lag
LAG_E1_T60,"Ref($E1, 60)",lag
LAG_I1_T1,"Ref($I1, 1)",lag
LAG_I1_T2,"Ref($I1, 2)",lag
LAG_I1_T5,"Ref($I1, 5)",lag
LAG_I1_T10,"Ref($I1, 10)",lag
LAG_I1_T20,"Ref($I1, 20)",lag
LAG_I1_T60,"Ref($I1, 60)",lag
ROLL_MEAN_M1_W5,"Mean($M1, 5)",rolling
ROLL_STD_M1_W5,"Std($M1, 5)",rolling
ROLL_MAX_M1_W5,"Max($M1, 5)",rolling
ROLL_MIN_M1_W5,"Min($M1, 5)",rolling
ROLL_MEDIAN_M1_W5,"Median($M1, 5)",rolling
ROLL_MEAN_M1_W10,"Mean($M1, 10)",rolling
ROLL_STD_M1_W10,"Std($M1, 10)",rolling
ROLL_MAX_M1_W10,"Max($M1, 10)",rolling
